workerid,proliferate.condition,ISI,id,item,response,rt,slide_number_in_experiment,trial_type,error
94,group_5,698,41,buño,f,2169,8,distractor,
94,group_5,664,38,sica,f,1271,9,distractor,
94,group_5,767,41,tija,f,1436,10,distractor,
94,group_5,642,38,ripa,f,1662,11,distractor,
94,group_5,791,22,biclero,f,2461,12,distractor,
94,group_5,760,24,moda,j,1617,13,stem_o,
94,group_5,729,22,jiplena,f,1631,14,distractor,
94,group_5,732,24,modo,j,1690,15,stem_o,
94,group_5,766,30,ramo,j,1530,16,stem_a,
94,group_5,702,11,letra,j,1585,17,gender_a,
94,group_5,600,30,rama,j,1267,18,stem_a,
94,group_5,713,11,costa,j,1388,19,gender_a,
94,group_5,799,4,caña,j,1418,20,stem_o,
94,group_5,754,33,rimpa,f,1737,21,distractor,
94,group_5,636,4,caño,f,1369,22,stem_o,
94,group_5,623,33,runzo,f,1483,23,distractor,
94,group_5,776,7,cinto,j,1974,24,ident_o,
94,group_5,766,11,masta,f,1571,25,distractor,
94,group_5,749,7,cinto,j,1845,26,ident_o,
94,group_5,651,11,cucto,f,1468,27,distractor,
94,group_5,692,5,cina,f,1822,28,distractor,
94,group_5,667,23,loma,j,1458,29,ident_a,
94,group_5,757,5,cijo,f,1655,30,distractor,
94,group_5,624,23,loma,j,1663,31,ident_a,
94,group_5,713,43,bomo,f,1516,32,distractor,
94,group_5,606,21,trigo,j,1293,33,gender_o,
94,group_5,649,43,roga,f,2292,34,distractor,
94,group_5,644,21,gramo,j,1419,35,gender_o,
94,group_5,752,5,cepo,f,1500,36,stem_a,
94,group_5,619,39,tormenta,j,1413,37,stem_o,
94,group_5,680,5,cepa,j,1487,38,stem_a,
94,group_5,798,39,tormento,j,1652,39,stem_o,
94,group_5,763,23,fopa,f,1519,40,distractor,
94,group_5,653,21,crano,f,1727,41,distractor,
94,group_5,722,23,rono,f,1508,42,distractor,
94,group_5,726,21,prasa,f,1441,43,distractor,
94,group_5,747,8,pojo,f,2048,44,distractor,
94,group_5,731,6,arcada,j,1584,45,gender_a,
94,group_5,726,8,moga,f,1458,46,distractor,
94,group_5,701,6,cigarra,j,1327,47,gender_a,
94,group_5,788,40,trompo,j,1607,48,stem_a,
94,group_5,727,26,deuda,j,1663,49,gender_a,
94,group_5,640,40,trompa,j,1886,50,stem_a,
94,group_5,676,26,plaza,j,2063,51,gender_a,
94,group_5,789,32,rótulo,j,1625,52,ident_o,
94,group_5,634,1,circo,j,1481,53,gender_o,
94,group_5,772,32,rótulo,j,1369,54,ident_o,
94,group_5,712,1,bando,j,1585,55,gender_o,
94,group_5,715,9,cochinilla,j,1546,56,stem_o,
94,group_5,715,37,solano,f,2019,57,ident_o,
94,group_5,678,9,cochinillo,j,1481,58,stem_o,
94,group_5,796,37,solano,f,1992,59,ident_o,
94,group_5,629,35,redo,f,1776,60,distractor,
94,group_5,625,16,falda,j,1298,61,gender_a,
94,group_5,766,35,leca,f,1848,62,distractor,
94,group_5,634,16,fauna,j,2014,63,gender_a,
94,group_5,614,12,coto,f,1387,64,ident_o,
94,group_5,721,42,farana,f,1637,65,distractor,
