word,lemma,POS,IC
tiempo,tiempo,nms,NC_o
mundo,mundo,nms,NC_o
día,día,nms,NC_a
algo,algo,pi-0cn,NC_o
todo,todo,dxms-ind-,NC_o
año,año,nms,NC_o
otro,otro,dxms-ind-,NC_o
trabajo,trabajo,nms,NC_o
momento,momento,nms,NC_o
caso,caso,nms,NC_o
manera,manera,nfs,NC_a
otra,otro,dxfs-ind-,NC_o
tipo,tipo,nms,NC_o
cuenta,cuenta,nfs,NC_a
sistema,sistema,nms,NC_a
casa,casa,nfs,NC_a
gobierno,gobierno,nms,NC_o
problema,problema,nms,NC_a
desarrollo,desarrollo,nms,NC_o
grupo,grupo,nms,NC_o
alguna,alguno,dxfs-ind-,NC_o
familia,familia,nfs,NC_a
libro,libro,nms,NC_o
empresa,empresa,nfs,NC_a
cuerpo,cuerpo,nms,NC_o
uso,uso,nms,NC_o
cosa,cosa,nfs,NC_a
derecho,derecho,nms,NC_o
mayoría,mayoría,nfs,NC_a
toda,todo,dxfs-ind-,NC_o
proyecto,proyecto,nms,NC_o
sentido,sentido,nms,NC_o
estado,estado,nms,NC_o
experiencia,experiencia,nfs,NC_a
hora,hora,nfs,NC_a
semana,semana,nfs,NC_a
artículo,artículo,nms,NC_o
cambio,cambio,nms,NC_o
tierra,tierra,nfs,NC_a
punto,punto,nms,NC_o
camino,camino,nms,NC_o
mano,mano,nms,NC_o
modo,modo,nms,NC_o
juego,juego,nms,NC_o
respuesta,respuesta,nfs,NC_a
mucha,mucho,dxfs-ind-,NC_o
hijo,hijo,nms,NC_o
lado,lado,nms,NC_o
partido,partido,nms,NC_o
palabra,palabra,nfs,NC_a
zona,zona,nms,NC_a
ninguna,ninguno,dxfs-ind-,NC_o
guerra,guerra,nfs,NC_a
niño,niño,nms,NC_o
cabeza,cabeza,nms,NC_a
paso,paso,nms,NC_o
música,música,nfs,NC_a
política,política,nfs,NC_a
falta,falta,nfs,NC_a
resto,resto,nms,NC_o
naturaleza,naturaleza,nfs,NC_a
ejemplo,ejemplo,nms,NC_o
siglo,siglo,nms,NC_o
comentario,comentario,nms,NC_o
pero,pero,nms,NC_o
acceso,acceso,nms,NC_o
campo,campo,nms,NC_o
importancia,importancia,nfs,NC_a
miedo,miedo,nms,NC_o
violencia,violencia,nfs,NC_a
carrera,carrera,nfs,NC_a
texto,texto,nms,NC_o
julio,julio,nms,NC_o
tratamiento,tratamiento,nms,NC_o
amigo,amigo,nms,NC_o
pareja,pareja,nfs,NC_a
peso,peso,nms,NC_o
efecto,efecto,nms,NC_o
cara,cara,nms,NC_a
pena,pena,nfs,NC_a
escuela,escuela,nfs,NC_a
concepto,concepto,nms,NC_o
respeto,respeto,nms,NC_o
consumo,consumo,nms,NC_o
cargo,cargo,nms,NC_o
mayo,mayo,nms,NC_o
práctica,práctica,nfs,NC_a
iglesia,iglesia,nfs,NC_a
pensamiento,pensamiento,nms,NC_o
plazo,plazo,nms,NC_o
pasado,pasado,nms,NC_o
acto,acto,nms,NC_o
correo,correo,nms,NC_o
marca,marca,nfs,NC_a
marzo,marzo,nms,NC_o
domingo,domingo,nms,NC_o
alma,alma,nfs,NC_a
temporada,temporada,nfs,NC_a
evento,evento,nms,NC_o
sueño,sueño,nms,NC_o
pago,pago,nms,NC_o
novela,novela,nfs,NC_a
democracia,democracia,nfs,NC_a
puerta,puerta,nfs,NC_a
planeta,planeta,nms,NC_a
marco,marco,nms,NC_o
juicio,juicio,nms,NC_o
territorio,territorio,nms,NC_o
medio,medio,nms,NC_o
foto,foto,nms,NC_o
venta,venta,nfs,NC_a
hija,hija,n,NC_a
disco,disco,nms,NC_o
compromiso,compromiso,nms,NC_o
inicio,inicio,nms,NC_o
memoria,memoria,nfs,NC_a
materia,materia,nfs,NC_a
médico,médico,nms,NC_o
boca,boca,nfs,NC_a
febrero,febrero,nms,NC_o
grado,grado,nms,NC_o
video,video,nms,NC_o
aspecto,aspecto,nms,NC_o
falta,falta,n,NC_a
estrategia,estrategia,nfs,NC_a
duda,duda,nfs,NC_a
deseo,deseo,nms,NC_o
pantalla,pantalla,nfs,NC_a
fondo,fondo,nms,NC_o
policía,policía,nms,NC_a
banda,banda,nfs,NC_a
fuego,fuego,nms,NC_o
vuelta,vuelta,nfs,NC_a
contrato,contrato,nms,NC_o
carta,carta,nfs,NC_a
sexo,sexo,nms,NC_o
ministro,ministro,nms,NC_o
suelo,suelo,nms,NC_o
hermano,hermano,nms,NC_o
cerebro,cerebro,nms,NC_o
daño,daño,nms,NC_o
empleo,empleo,nms,NC_o
periodista,periodista,nms,NC_a
mesa,mesa,nfs,NC_a
esposa,esposa,nfs,NC_a
tanta,tanto,dxfs-ind-,NC_o
provincia,provincia,nfs,NC_a
costo,costo,nms,NC_o
radio,radio,nms,NC_o
organismo,organismo,nms,NC_o
ropa,ropa,nfs,NC_a
fiesta,fiesta,nfs,NC_a
altura,altura,nfs,NC_a
inteligencia,inteligencia,nfs,NC_a
deuda,deuda,nfs,NC_a
beneficio,beneficio,nms,NC_o
herramienta,herramienta,nfs,NC_a
universo,universo,nms,NC_o
isla,isla,nfs,NC_a
candidato,candidato,nms,NC_o
río,río,nms,NC_o
belleza,belleza,nfs,NC_a
perspectiva,perspectiva,nfs,NC_a
moda,moda,nfs,NC_a
dia,dia,n,NC_a
gracia,gracia,nfs,NC_a
miembro,miembro,nms,NC_o
escena,escena,nfs,NC_a
carga,carga,nfs,NC_a
artista,artista,nms,NC_a
municipio,municipio,nms,NC_o
conducta,conducta,nfs,NC_a
niña,niña,nfs,NC_a
sonido,sonido,nms,NC_o
llegada,llegada,nfs,NC_a
barrio,barrio,nms,NC_o
derecha,derecha,nfs,NC_a
puesto,puesto,nms,NC_o
manejo,manejo,nms,NC_o
rato,rato,nms,NC_o
individuo,individuo,nms,NC_o
chica,chica,nfs,NC_a
biblia,biblia,nms,NC_a
pelo,pelo,nms,NC_o
vía,vía,nfs,NC_a
capítulo,capítulo,nms,NC_o
delito,delito,nms,NC_o
poca,poco,dxfs-ind-,NC_o
caso,caso,n,NC_o
ojo,ojo,nms,NC_o
jornada,jornada,nfs,NC_a
dominio,dominio,nms,NC_o
victoria,victoria,nfs,NC_a
oficina,oficina,nfs,NC_a
amiga,amiga,nfs,NC_a
vivienda,vivienda,nfs,NC_a
temperatura,temperatura,nfs,NC_a
maestro,maestro,nms,NC_o
último,último,n,NC_o
banco,banco,nms,NC_o
edificio,edificio,nms,NC_o
plata,plata,nms,NC_a
cama,cama,nfs,NC_a
recurso,recurso,nms,NC_o
perro,perro,nms,NC_o
rostro,rostro,nms,NC_o
plataforma,plataforma,nfs,NC_a
técnica,técnica,nfs,NC_a
saludo,saludo,nms,NC_o
idioma,idioma,nms,NC_a
costa,costa,nfs,NC_a
planta,planta,nfs,NC_a
intento,intento,nms,NC_o
protagonista,protagonista,nms,NC_a
foro,foro,nms,NC_o
crítica,crítica,nfs,NC_a
consejo,consejo,nms,NC_o
cuento,cuento,nms,NC_o
petróleo,petróleo,nms,NC_o
esencia,esencia,nfs,NC_a
formato,formato,nms,NC_o
compañero,compañero,nms,NC_o
silencio,silencio,nms,NC_o
criterio,criterio,nms,NC_o
llamado,llamado,nms,NC_o
ventaja,ventaja,nfs,NC_a
toma,toma,nfs,NC_a
tono,tono,nms,NC_o
piedra,piedra,nfs,NC_a
plaza,plaza,nfs,NC_a
caja,caja,nfs,NC_a
mentira,mentira,nfs,NC_a
hermana,hermana,nfs,NC_a
clima,clima,nms,NC_a
caída,caída,nfs,NC_a
cita,cita,nfs,NC_a
basura,basura,nfs,NC_a
letra,letra,nfs,NC_a
esposo,esposo,nms,NC_o
piso,piso,nms,NC_o
dictadura,dictadura,nfs,NC_a
vino,vino,nms,NC_o
ciudadano,ciudadano,nms,NC_o
madera,madera,nms,NC_a
enemigo,enemigo,nms,NC_o
audiencia,audiencia,nfs,NC_a
escala,escala,n,NC_a
playa,playa,nfs,NC_a
llamada,llamada,nfs,NC_a
abogado,abogado,nms,NC_o
chico,chico,nms,NC_o
cuadro,cuadro,nms,NC_o
