word,lemma_old,POS_old,IC_old,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list,lemma_new,POS_new,IC_new
alta,alta,nfs    ,NC_A,certificate of discharge/ entry into profession / tax declaration,,,,1,adj,1619,,1,,,3,0,,1,alta,nfs,nc_a
alto,alto,nms    ,NC_O,height,,,,1,"adj, adv",46210,,1,1,,4,0,,1,alto,nms,nc_o
ara,ara,nms    ,NC_A,altar,,,,1,beware of verb,6497,1,,,,,0,,1,ara,nms,nc_a
aro,aro,nms    ,NC_O,hoop/ring,,,,1,beware of verb,19416,1,,,,,0,,1,aro,nms,nc_o
banca,banca,nfs    ,NC_A,bench,,,,1,V,184377,1,,,,,0,,1,banca,nfs,nc_a
banca,banca,nfs    ,NC_A,bench,,,,1,V,184377,1,,,,,0,,1,banca,n,nc_a
banco,banco,n,NC_O,bank/bench,,,,1,V,397364,1,,,,,0,,1,banco,nms,nc_o
banco,banco,n,NC_O,bank/bench,,,,1,V,397364,1,,,,,0,,1,banco,n,nc_o
barra,barra,nfs    ,NC_A,bar/counter; bar/rod,,,,1,V,95716,1,,,,,0,,1,barra,nfs,nc_a
barra,barra,nfs    ,NC_A,bar/counter; bar/rod,,,,1,V,95716,1,,,,,0,,1,barra,n,nc_a
barro,barro,n,NC_O,mud,,,,1,"V x2 (-ar, -er)",44808,1,,1,,,0,,1,barro,nms,nc_o
barro,barro,n,NC_O,mud,,,,1,"V x2 (-ar, -er)",44808,1,,1,,,0,,1,barro,n,nc_o
batida,batida,nfs    ,NC_A,beating/search/radi,,,1,1,"adj, v",2470,1,1,,,,0,,1,batida,nfs,nc_a
batido,batido,nms    ,NC_O,"smoothie, whiped cocktail",,,1,1,"Adj, V",11836,1,1,,,,0,,1,batido,nms,nc_o
bola,bola,nfs    ,NC_A,"ball, testicle, scoop, hilt, muscle",,,,1,Adj,70630,,1,,,25,0,,1,bola,nfs,nc_a
bolo,bolo,nms    ,NC_O,"bowling pin, bolivar, gig, ",,,,1,Adj,3548,,1,,,26,0,,1,bolo,nms,nc_o
bomba,bomba,nfs    ,NC_A,"bomb, pump, lampt globe, smash hit",,,,1,Adj,136471,,1,,,27,0,,1,bomba,nfs,nc_a
bombo,bombo,nms    ,NC_O,"bass drum, bass drum player, barge",,,,1,Adj,17815,,1,,,28,0,,1,bombo,nms,nc_o
calzada,calzada,nfs    ,NC_A,"road, path, lane",,,,1,exists as adj,52597,,1,,,,0,,1,calzada,nfs,nc_a
calzado,calzado,nms    ,NC_O,footgear,,,,1,exists as adj,65524,,1,,,,0,,1,calzado,nms,nc_o
capa,capa,nfs    ,NC_A,"cloak, cape, coat, sheet, layer, guise",,,,1,V,,1,,,,,0,,1,capa,nfs,nc_a
capa,capa,nfs    ,NC_A,"cloak, cape, coat, sheet, layer, guise",,,,1,V,,1,,,,,0,,1,capa,n,nc_a
capo,capo,nms    ,NC_O,"gangaster, boss, chief",1,,,1,V,,1,,,,,0,,1,capo,nms,nc_o
capo,capo,nms    ,NC_O,"gangaster, boss, chief",1,,,1,V,,1,,,,,0,,1,capo,n,nc_o
careta,careta,nfs    ,NC_A,"face mask, pork cheek",,,,1,also adj,,,1,,,,0,,1,careta,nfs,nc_a
careto,careto,nms    ,NC_O,face,,,,1,Adj,,,1,,,43,0,,1,careto,nms,nc_o
carga,carga,nfs    ,NC_A,"load, burden, cargo",,,,1,V,,1,,,,,0,,1,carga,nfs,nc_a
cargo,cargo,nms    ,NC_O,"charge, burden, position, debit, charge",,,,1,V,,1,,,,,0,,1,cargo,nms,nc_o
carpa,carpa,nfs    ,NC_A,tent,,,,1,V,,1,,,,,0,,1,carpa,nfs,nc_a
carpa,carpa,nfs    ,NC_A,tent,,,,1,V,,1,,,,,0,,1,carpa,n,nc_a
carpo,carpo,n,NC_O,"carpus, wrist",,,,1,V,,1,,,,,0,,1,carpo,n,nc_o
cava,cava,nfs    ,NC_A,dig,,,,1,"Adj, V",,1,1,,,,0,,1,cava,nfs,nc_a
cavo,cabo,n,NC_O,"burrow, den",,,,1,also an adjective,,,1,,,,0,,1,cabo,n,nc_o
ceba,ceba,nfs    ,NC_A,onion,,,,1,V,,1,,,,,0,,1,ceba,nfs,nc_a
cebo,cebo,nms    ,NC_O,"bait, fodder",,,,1,V,,1,,,,,0,,1,cebo,nms,nc_o
centena,centena,nfs    ,NC_A,unit of hundred objects,,,,1,also adj,,,1,,,,0,,1,centena,nfs,nc_a
centeno,centeno,nms    ,NC_O,rye,,,,1,also adj,,,1,,,,0,,1,centeno,nms,nc_o
chava,chava,nfs    ,NC_A,corpse,,,,1,also adj,,,1,,,,0,,1,chava,nfs,nc_a
chava,chava,nfs    ,NC_A,corpse,,,,1,also adj,,,1,,,,0,,1,chavo,n,nc_o
chavo,chavo,nms    ,NC_O,boy/kid,1,,,1,also adj,,,1,,,,0,,1,chavo,nms,nc_o
chicha,chicha,nfs    ,NC_A,"flesh, boob, peruvian drink",,,,1,V,,1,,,,,0,,1,chicha,nfs,nc_a
chicho,chicho,nms    ,NC_O,love handle,,,,1,"carribean, V",,1,,,,,0,,1,chicho,nms,nc_o
clava,clava,nfs    ,NC_A,club,,,,1,also verb,,1,,,,,0,,1,clava,nfs,nc_a
clavo,clavo,nms    ,NC_O,"nail, clove, corn, headache, scab",,,,1,V,,1,,,,,0,,1,clavo,nms,nc_o
cobija,cobija,nfs    ,NC_A,blanket,,,,1,"mexico, columbia, venezuela; also verb",,1,,,,,0,,1,cobija,nfs,nc_a
cobijo,cobijo,nms    ,NC_O,"bedroom, shelter, protection",,,,1,also verb,,1,,,,,0,,1,cobijo,nms,nc_o
cobra,cobra,nfs    ,NC_A,cobra,,,,1,also verb,,1,,,,,0,,1,cobra,nfs,nc_a
cobro,cobro,nms    ,NC_O,"payment, cashing, charge",,,,1,also verb,,1,,,,,0,,1,cobro,nms,nc_o
coda,coda,nfs    ,NC_A,"coda, ",,,,1,also adj,,,1,,,,0,,1,coda,nfs,nc_a
codo,codo,nms    ,NC_O,elbow,,,,1,also adj,,,1,,,,0,,1,codo,nms,nc_o
conseja,conseja,nfs    ,NC_A,"old wiv'es tale, fable",,,,1,also v,,1,,,,,0,,1,conseja,nfs,nc_a
consejo,consejo,nms    ,NC_O,"advice, council",,,,1,also v,,1,,,,,0,,1,consejo,nms,nc_o
consejo,consejo,nms    ,NC_O,"advice, council",,,,1,also v,,1,,,,,0,,1,consejo,n,nc_o
copa,copa,nfs    ,NC_A,glass,,,,1,also V,,1,,,,,0,,1,copa,nfs,nc_a
copo,copo,nms    ,NC_O,flake (cereal),,,,1,also V,,1,,,,,0,,1,copo,nms,nc_o
cordada,cordada,nfs    ,NC_A,rope team,,,,1,also Adj,,,1,,,,0,,1,cordada,nfs,nc_a
cordado,cordado,nms    ,NC_O,chordate,,,,1,also Adj,,,1,,,,0,,1,cordado,nms,nc_o
corrida,corrida,nfs    ,NC_A,"sprint, bulfight",,,,1,adj,,,1,,,,0,,1,corrida,nfs,nc_a
corrido,corrido,nms    ,NC_O,folk song (MX),,,,1,adj,,,1,,,,0,,1,corrido,nms,nc_o
corta,corta,nfs    ,NC_A,cutting (of trees),,,,1,adj/v,,1,1,,,,0,,1,corta,nfs,nc_a
cortada,cortada,nfs    ,NC_A,"cut (LA), shortcut (AG, BV, UR)",,,,1,Adj/V,,1,1,,,,0,,1,cortada,nfs,nc_a
cortado,cortado,nms    ,NC_O,coffee,,,,1,Adj/V,,1,1,,,,0,,1,cortado,nms,nc_o
corto,corto,nms    ,NC_O,short (film),,,,1,Adj/V,,1,1,,,,0,,1,corto,nms,nc_o
