word,wordID_set,lemma,POS,Inflection_Class,Meaning,Animacy,Innapropriate?,Derivational Morpheme?,Potential,
/a,{166975},/a,n,NC_A,,,,,,
/esa,{1793999},/esa,n,NC_A,,,,,,
/eso,{1794000},/eso,n,NC_O,,,,,,
/fota,{3142514},/fota,n,NC_A,,,,,,
/foto,{157799},/foto,n,NC_O,,,,,,
/la,"{1466261, 161718}",/la,n,NC_A,,,,,,
/lo,{1261312},/lo,n,NC_O,,,,,,
/media,{3142969},/media,n,NC_A,,,,,,
/medio,{3142995},/medio,n,NC_O,,,,,,
/niña,{3143098},/niña,n,NC_A,,,,,,
/niño,{3143099},/niño,n,NC_O,,,,,,
/o,{76914},/o,n,NC_O,,,,,,
/ta,{3143601},/ta,n,NC_A,,,,,,
/to,{3143668},/to,n,NC_O,,,,,,
/usa,{1605950},/usa,n,NC_A,,,,,,
/uso,{3143724},/uso,n,NC_O,,,,,,
==ya,{3458722},==ya,n,NC_A,,,,,,
==yo,{2466657},==yo,n,NC_O,,,,,,
>la,{625424},>la,n,NC_A,,,,,,
>lo,"{3459545, 2466851}",>lo,n,NC_O,,,,,,
@hija,{2464231},@hija,n,NC_A,,,,,,
@hijo,{2464232},@hijo,n,NC_O,,,,,,
@patricia,{2464907},@patricia,n,NC_A,,,,,,
@patricio,{2464910},@patricio,n,NC_O,,,,,,
@paula,{2464920},@paula,n,NC_A,,,,,,
@paulo,{3453329},@paulo,n,NC_O,,,,,,
@rita,{3453773},@rita,n,NC_A,,,,,,
@rito,{3453775},@rito,n,NC_O,,,,,,
@rogelia,{3453823},@rogelia,n,NC_A,,,,,,
@rogelio,{3453825},@rogelio,n,NC_O,,,,,,
@sa,{3453903},@sa,n,NC_A,,,,,,
@so,{3454136},@so,n,NC_O,,,,,,
@thelma,{3454363},@thelma,n,NC_A,,,,,,
@thelmo,{3454364},@thelmo,n,NC_O,,,,,,
@tita,{3454408},@tita,n,NC_A,,,,,,
@tito,{3454410},@tito,n,NC_O,,,,,,
@una,"{3454563, 3454564}",@una,n,NC_A,,,,,,
@uno,{3454581},@uno,n,NC_O,,,,,,
^^la,{3454970},^^la,n,NC_A,,,,,,
^^lo,{3454971},^^lo,n,NC_O,,,,,,
^a,{3455010},^a,n,NC_A,,,,,,
^o,{1120597},^o,n,NC_O,,,,,,
___esta,{3455210},___esta,n,NC_A,,,,,,
___esto,{3455211},___esto,n,NC_O,,,,,,
_otra,{3455622},_otra,n,NC_A,,,,,,
_otro,{3455624},_otro,n,NC_O,,,,,,
_primera,{2465687},_primera,n,NC_A,,,,,,
_primero,{3455653},_primero,n,NC_O,,,,,,
aa,"{625480, 116677}",aa,n,NC_A,,,,,,
abogada,"{70487, 11959}",abogada,n,NC_A,lawyer,1,,,,
abogado,"{216900, 193454, 188752, 22422, 38622}",abogado,n,NC_O,lawyer,1,,,,
abuelita,"{20721, 151651}",abuelita,n,NC_A,grandmother,1,,1,,
abuelito,"{49498, 285355}",abuelito,n,NC_O,grandfather,1,,1,,
accesoria,{182120},accesoria,nfs    ,NC_A,accessory,,,,,
accesorio,{21773},accesorio,nms    ,NC_O,accessory,,,,,
acta,"{42082, 62470}",acta,nfs    ,NC_A,"certificate, minutes/record, election results",,,,1,
acto,"{31076, 31012, 30343, 215443, 78227}",acto,n,NC_O,act,,,,1,
actuaria,{400072},actuaria,n,NC_A,Actuary (maker of insurance calculations),1,,,,
actuario,{140501},actuario,nms    ,NC_O,Actuary (maker of insurance calculations),1,,,,
