word,lemma,POS,IC
vida,vida,nfs,nc_a
tiempo,tiempo,nms,nc_o
mundo,mundo,nms,nc_o
día,día,nms,nc_a
algo,algo,pi-0cn,nc_o
forma,forma,nfs,nc_a
todo,todo,dxms-ind-,nc_o
año,año,nms,nc_o
otro,otro,dxms-ind-,nc_o
trabajo,trabajo,nms,nc_o
momento,momento,nms,nc_o
caso,caso,nms,nc_o
manera,manera,nfs,nc_a
otra,otro,dxfs-ind-,nc_o
tipo,tipo,nms,nc_o
cuenta,cuenta,nfs,nc_a
sistema,sistema,nms,nc_a
casa,casa,nfs,nc_a
gobierno,gobierno,nms,nc_o
tema,tema,nms,nc_a
problema,problema,nms,nc_a
desarrollo,desarrollo,nms,nc_o
grupo,grupo,nms,nc_o
alguna,alguno,dxfs-ind-,nc_o
familia,familia,nfs,nc_a
pueblo,pueblo,nms,nc_o
libro,libro,nms,nc_o
empresa,empresa,nfs,nc_a
cuerpo,cuerpo,nms,nc_o
uso,uso,nms,nc_o
cosa,cosa,nfs,nc_a
derecho,derecho,nms,nc_o
mayoría,mayoría,nfs,nc_a
toda,todo,dxfs-ind-,nc_o
proyecto,proyecto,nms,nc_o
sentido,sentido,nms,nc_o
estado,estado,nms,nc_o
experiencia,experiencia,nfs,nc_a
hora,hora,nfs,nc_a
semana,semana,nfs,nc_a
artículo,artículo,nms,nc_o
cambio,cambio,nms,nc_o
tierra,tierra,nfs,nc_a
punto,punto,nms,nc_o
hecho,hecho,nms,nc_o
camino,camino,nms,nc_o
mano,mano,nms,nc_o
modo,modo,nms,nc_o
juego,juego,nms,nc_o
respuesta,respuesta,nfs,nc_a
mucha,mucho,dxfs-ind-,nc_o
estudio,estudio,nms,nc_o
hijo,hijo,nms,nc_o
lado,lado,nms,nc_o
partido,partido,nms,nc_o
palabra,palabra,nfs,nc_a
zona,zona,nms,nc_a
ninguna,ninguno,dxfs-ind-,nc_o
guerra,guerra,nfs,nc_a
niño,niño,nms,nc_o
cabeza,cabeza,nms,nc_a
paso,paso,nms,nc_o
música,música,nfs,nc_a
apoyo,apoyo,nms,nc_o
política,política,nfs,nc_a
falta,falta,nfs,nc_a
resto,resto,nms,nc_o
naturaleza,naturaleza,nfs,nc_a
ejemplo,ejemplo,nms,nc_o
siglo,siglo,nms,nc_o
comentario,comentario,nms,nc_o
pero,pero,nms,nc_o
acceso,acceso,nms,nc_o
campo,campo,nms,nc_o
importancia,importancia,nfs,nc_a
éxito,éxito,n,nc_o
miedo,miedo,nms,nc_o
ayuda,ayuda,nms,nc_a
lucha,lucha,nfs,nc_a
violencia,violencia,nfs,nc_a
cabo,cabo,nms,nc_o
carrera,carrera,nfs,nc_a
texto,texto,nms,nc_o
julio,julio,nms,nc_o
tratamiento,tratamiento,nms,nc_o
pregunta,pregunta,nfs,nc_a
amigo,amigo,nms,nc_o
pareja,pareja,nfs,nc_a
peso,peso,nms,nc_o
efecto,efecto,nms,nc_o
cara,cara,nms,nc_a
pena,pena,nfs,nc_a
escuela,escuela,nfs,nc_a
concepto,concepto,nms,nc_o
respeto,respeto,nms,nc_o
consumo,consumo,nms,nc_o
cargo,cargo,nms,nc_o
mayo,mayo,nms,nc_o
práctica,práctica,nfs,nc_a
iglesia,iglesia,nfs,nc_a
pensamiento,pensamiento,nms,nc_o
plazo,plazo,nms,nc_o
