word,lemma,POS,IC,English,Animate,Innapropriate,Derivational,Potentially_Use,Other_POS,Span_Dic_Freq,Verb_Frequency,Adj_Frequency,Other_Freq,Regional_Use,Regional_dont_use,Use,log_freq,stim_list
alta,alta,nfs    ,NC_A,certificate of discharge/ entry into profession / tax declaration,,,,1,adj,1619,,1,,,3,0,,1
alto,alto,nms    ,NC_O,height,,,,1,"adj, adv",46210,,1,1,,4,0,,1
ara,ara,nms    ,NC_A,altar,,,,1,beware of verb,6497,1,,,,,0,,1
aro,aro,nms    ,NC_O,hoop/ring,,,,1,beware of verb,19416,1,,,,,0,,1
banca,banca,nfs    ,NC_A,bench,,,,1,V,184377,1,,,,,0,,1
banco,banco,n,NC_O,bank/bench,,,,1,V,397364,1,,,,,0,,1
barra,barra,nfs    ,NC_A,bar/counter; bar/rod,,,,1,V,95716,1,,,,,0,,1
barro,barro,n,NC_O,mud,,,,1,"V x2 (-ar, -er)",44808,1,,1,,,0,,1
batida,batida,nfs    ,NC_A,beating/search/radi,,,1,1,"adj, v",2470,1,1,,,,0,,1
batido,batido,nms    ,NC_O,"smoothie, whiped cocktail",,,1,1,"Adj, V",11836,1,1,,,,0,,1
bola,bola,nfs    ,NC_A,"ball, testicle, scoop, hilt, muscle",,,,1,Adj,70630,,1,,,25,0,,1
bolo,bolo,nms    ,NC_O,"bowling pin, bolivar, gig, ",,,,1,Adj,3548,,1,,,26,0,,1
bomba,bomba,nfs    ,NC_A,"bomb, pump, lampt globe, smash hit",,,,1,Adj,136471,,1,,,27,0,,1
bombo,bombo,nms    ,NC_O,"bass drum, bass drum player, barge",,,,1,Adj,17815,,1,,,28,0,,1
calzada,calzada,nfs    ,NC_A,"road, path, lane",,,,1,exists as adj,52597,,1,,,,0,,1
calzado,calzado,nms    ,NC_O,footgear,,,,1,exists as adj,65524,,1,,,,0,,1
capa,capa,nfs    ,NC_A,"cloak, cape, coat, sheet, layer, guise",,,,1,V,,1,,,,,0,,1
capo,capo,nms    ,NC_O,"gangaster, boss, chief",1,,,1,V,,1,,,,,0,,1
careta,careta,nfs    ,NC_A,"face mask, pork cheek",,,,1,also adj,,,1,,,,0,,1
careto,careto,nms    ,NC_O,face,,,,1,Adj,,,1,,,43,0,,1
carga,carga,nfs    ,NC_A,"load, burden, cargo",,,,1,V,,1,,,,,0,,1
cargo,cargo,nms    ,NC_O,"charge, burden, position, debit, charge",,,,1,V,,1,,,,,0,,1
carpa,carpa,nfs    ,NC_A,tent,,,,1,V,,1,,,,,0,,1
carpo,carpo,n,NC_O,"carpus, wrist",,,,1,V,,1,,,,,0,,1
cava,cava,nfs    ,NC_A,dig,,,,1,"Adj, V",,1,1,,,,0,,1
cavo,cabo,n,NC_O,"burrow, den",,,,1,also an adjective,,,1,,,,0,,1
ceba,ceba,nfs    ,NC_A,onion,,,,1,V,,1,,,,,0,,1
cebo,cebo,nms    ,NC_O,"bait, fodder",,,,1,V,,1,,,,,0,,1
centena,centena,nfs    ,NC_A,unit of hundred objects,,,,1,also adj,,,1,,,,0,,1
centeno,centeno,nms    ,NC_O,rye,,,,1,also adj,,,1,,,,0,,1
chava,chava,nfs    ,NC_A,corpse,,,,1,also adj,,,1,,,,0,,1
chavo,chavo,nms    ,NC_O,boy/kid,1,,,1,also adj,,,1,,,,0,,1
chicha,chicha,nfs    ,NC_A,"flesh, boob, peruvian drink",,,,1,V,,1,,,,,0,,1
chicho,chicho,nms    ,NC_O,love handle,,,,1,"carribean, V",,1,,,,,0,,1
clava,clava,nfs    ,NC_A,club,,,,1,also verb,,1,,,,,0,,1
clavo,clavo,nms    ,NC_O,"nail, clove, corn, headache, scab",,,,1,V,,1,,,,,0,,1
cobija,cobija,nfs    ,NC_A,blanket,,,,1,"mexico, columbia, venezuela; also verb",,1,,,,,0,,1
cobijo,cobijo,nms    ,NC_O,"bedroom, shelter, protection",,,,1,also verb,,1,,,,,0,,1
cobra,cobra,nfs    ,NC_A,cobra,,,,1,also verb,,1,,,,,0,,1
cobro,cobro,nms    ,NC_O,"payment, cashing, charge",,,,1,also verb,,1,,,,,0,,1
coda,coda,nfs    ,NC_A,"coda, ",,,,1,also adj,,,1,,,,0,,1
codo,codo,nms    ,NC_O,elbow,,,,1,also adj,,,1,,,,0,,1
conseja,conseja,nfs    ,NC_A,"old wiv'es tale, fable",,,,1,also v,,1,,,,,0,,1
consejo,consejo,nms    ,NC_O,"advice, council",,,,1,also v,,1,,,,,0,,1
copa,copa,nfs    ,NC_A,glass,,,,1,also V,,1,,,,,0,,1
copo,copo,nms    ,NC_O,flake (cereal),,,,1,also V,,1,,,,,0,,1
cordada,cordada,nfs    ,NC_A,rope team,,,,1,also Adj,,,1,,,,0,,1
cordado,cordado,nms    ,NC_O,chordate,,,,1,also Adj,,,1,,,,0,,1
corrida,corrida,nfs    ,NC_A,"sprint, bulfight",,,,1,adj,,,1,,,,0,,1
corrido,corrido,nms    ,NC_O,folk song (MX),,,,1,adj,,,1,,,,0,,1
corta,corta,nfs    ,NC_A,cutting (of trees),,,,1,adj/v,,1,1,,,,0,,1
cortada,cortada,nfs    ,NC_A,"cut (LA), shortcut (AG, BV, UR)",,,,1,Adj/V,,1,1,,,,0,,1
cortado,cortado,nms    ,NC_O,coffee,,,,1,Adj/V,,1,1,,,,0,,1
corto,corto,nms    ,NC_O,short (film),,,,1,Adj/V,,1,1,,,,0,,1
corva,corva,nfs    ,NC_A,ham (back of knee),,,,1,adj/v,,1,1,,,,0,,1
corvo,corvo,nms    ,NC_O,hook,,,,1,adj/v,,1,1,,,,0,,1
cosa,cosa,n,NC_A,thing,,,,1,adj/v,,1,1,,,,0,,1
coso,coso,nms    ,NC_O,"bullring, woodowrm, thingy",,,,1,adj/v,,1,1,,,,0,,1
cuña,cuña,nfs    ,NC_A,"wedge, chock",,,,1,V,,1,,,,,0,,1
cuño,cuño,nms    ,NC_O,stamp,,,,1,V,,1,,,,,0,,1
cuadra,cuadra,nfs    ,NC_A,"city block (LA), stable, ward",,,,1,V,,1,,,,,0,,1
