lemma,POS,count,logFreq
dehesa,noun,920,2.963787827
teresa,noun,903,2.95568775
andada,noun,923,2.965201701
temita,noun,898,2.953276337
tapita,noun,897,2.952792443
etarra,noun,931,2.968949681
polola,noun,893,2.950851459
tenida,noun,892,2.950364854
lolita,noun,933,2.969881644
anilla,noun,891,2.949877704
nutria,noun,891,2.949877704
tromba,noun,891,2.949877704
eczema,noun,935,2.970811611
solera,noun,886,2.947433722
hiedra,noun,939,2.972665592
camita,noun,885,2.946943271
saluda,noun,882,2.945468585
chompa,noun,879,2.943988875
patera,noun,878,2.943494516
cinema,noun,877,2.942999593
cobaya,noun,873,2.941014244
brizna,noun,870,2.939519253
bebita,noun,957,2.980911938
aguada,noun,959,2.981818607
babosa,noun,960,2.982271233
pelada,noun,862,2.935507266
estera,noun,966,2.984977126
égida,noun,860,2.934498451
botana,noun,974,2.988558957
fronda,noun,853,2.930949031
picota,noun,976,2.989449818
solana,noun,852,2.930439595
gringa,noun,981,2.991669007
orisha,noun,843,2.925827575
otorga,noun,991,2.996073654
fulana,noun,994,2.997386384
geisha,noun,834,2.921166051
veleta,noun,1002,3.000867722
tacita,noun,1003,3.001300933
buseta,noun,1014,3.006037955
lavada,noun,1014,3.006037955
totora,noun,818,2.912753304
chunga,noun,814,2.910624405
fascia,noun,810,2.908485019
rizoma,noun,808,2.907411361
afasia,noun,807,2.906873535
purina,noun,1031,3.013258665
baliza,noun,1038,3.016197354
alubia,noun,800,2.903089987
bocata,noun,1040,3.017033339
plasta,noun,799,2.902546779
camila,noun,794,2.899820502
estoma,noun,794,2.899820502
sonata,noun,1052,3.02201574
sharia,noun,1054,3.022840611
tantra,noun,789,2.897077003
vileza,noun,1056,3.023663918
batida,noun,1056,3.023663918
parida,noun,784,2.894316063
mucama,noun,1061,3.025715384
islita,noun,783,2.893761762
cojera,noun,780,2.892094603
visera,noun,1067,3.028164419
salita,noun,1070,3.029383778
karina,noun,777,2.890421019
risita,noun,1078,3.032618761
patota,noun,1079,3.033021445
joroba,noun,770,2.886490725
tesina,noun,767,2.884795364
monada,noun,1086,3.035829825
cogida,noun,764,2.883093359
manana,noun,1092,3.038222638
ranita,noun,761,2.881384657
penita,noun,1094,3.039017322
ma?ana,noun,759,2.880241776
eccema,noun,756,2.878521796
sibila,noun,754,2.877371346
devota,noun,751,2.875639937
arpía,noun,749,2.874481818
rudeza,noun,1114,3.046885191
serena,noun,743,2.870988814
alteza,noun,742,2.870403905
ataxia,noun,1124,3.050766311
medula,noun,737,2.867467488
dorama,noun,1131,3.053462605
tirita,noun,1134,3.054613055
asceta,noun,730,2.86332286
areola,noun,729,2.862727528
caliza,noun,1142,3.057666104
regala,noun,728,2.862131379
dharma,noun,1143,3.05804623
bobada,noun,1145,3.058805487
grulla,noun,725,2.860338007
nvidia,noun,723,2.859138297
lisina,noun,720,2.857332496
gacela,noun,1158,3.063708559
quilla,noun,1162,3.065206128
chanza,noun,715,2.854306042
tutora,noun,1164,3.06595298
loncha,noun,714,2.853698212
acacia,noun,1167,3.067070856
ristra,noun,711,2.851869601
rastra,noun,1170,3.068185862
muesca,noun,710,2.851258349
papita,noun,1173,3.069298012
macana,noun,1177,3.070776463
disnea,noun,1178,3.07114529
ropita,noun,1179,3.071513805
chiita,noun,704,2.847572659
gilada,noun,703,2.846955325
rosada,noun,703,2.846955325
colada,noun,1185,3.07371835
eslora,noun,1186,3.074084689
papada,noun,701,2.845718018
pajita,noun,699,2.844477176
selena,noun,1191,3.075911761
anomia,noun,692,2.840106094
balboa,noun,1207,3.08170727
pupusa,noun,689,2.838219222
velita,noun,1211,3.083144143
druida,noun,1220,3.086359831
anchoa,noun,1221,3.086715664
curita,noun,1223,3.087426457
curaca,noun,679,2.831869774
tinaja,noun,1232,3.090610708
tetera,noun,1234,3.09131516
urraca,noun,673,2.828015064
aguila,noun,671,2.82672252
melaza,noun,1247,3.095866453
goleta,noun,666,2.823474229
quinoa,noun,664,2.822168079
cierva,noun,664,2.822168079
barça,noun,1254,3.098297536
maroma,noun,663,2.821513528
pipeta,noun,660,2.819543936
rebeca,noun,659,2.818885415
mesera,noun,1265,3.102090526
utopia,noun,657,2.81756537
carina,noun,657,2.81756537
abulia,noun,657,2.81756537
finura,noun,1269,3.103461622
coleta,noun,1272,3.104487111
colita,noun,1277,3.106190897
dorada,noun,651,2.813580989
gozada,noun,1282,3.107888025
tapada,noun,648,2.811575006
gamuza,noun,646,2.810232518
rayita,noun,1290,3.11058971
botica,noun,1292,3.111262514
garita,noun,1295,3.112269768
litera,noun,1296,3.112605002
tundra,noun,641,2.80685803
pedida,noun,638,2.804820679
jarana,noun,638,2.804820679
canada,noun,637,2.804139432
ágata,noun,637,2.804139432
corola,noun,635,2.802773725
salvia,noun,1311,3.117602692
stevia,noun,1313,3.118264726
horita,noun,1314,3.118595365
papila,noun,1314,3.118595365
ortiga,noun,1317,3.119585775
gaveta,noun,1318,3.11991541
botija,noun,631,2.800029359
diabla,noun,628,2.797959644
viruta,noun,628,2.797959644
pamela,noun,626,2.796574333
nenita,noun,624,2.79518459
m?sica,noun,623,2.794488047
dracma,noun,623,2.794488047
gresca,noun,622,2.793790385
espira,noun,622,2.793790385
isleta,noun,621,2.7930916
fijeza,noun,621,2.7930916
alzada,noun,1351,3.130655349
copita,noun,1359,3.133219457
arcada,noun,1363,3.134495856
putada,noun,1368,3.136086097
colcha,noun,1368,3.136086097
picana,noun,606,2.782472624
chacha,noun,605,2.781755375
lejía,noun,1379,3.139564266
mexica,noun,1381,3.140193679
cubata,noun,600,2.77815125
fragua,noun,1387,3.142076461
vigía,noun,1389,3.142702246
ortega,noun,1391,3.14332713
fineza,noun,597,2.775974331
sacada,noun,597,2.775974331
arveja,noun,1398,3.145507171
añada,noun,1402,3.146748014
medina,noun,587,2.768638101
p?gina,noun,1421,3.152594078
sherpa,noun,576,2.760422483
regina,noun,574,2.758911892
lanata,noun,572,2.757396029
leída,noun,571,2.756636108
estopa,noun,569,2.755112266
tetina,noun,568,2.754348336
cetona,noun,566,2.752816431
madeja,noun,1470,3.167317335
alpaca,noun,1478,3.169674434
mengua,noun,561,2.748962861
almeja,noun,1485,3.171726454
repisa,noun,1488,3.172602931
decana,noun,1491,3.173477643
tranca,noun,1492,3.173768823
minita,noun,556,2.745074792
iguala,noun,555,2.744292983
latita,noun,550,2.740362689
roncha,noun,1521,3.182129214
panama,noun,1523,3.182699903
ágora,noun,1527,3.183839037
pasota,noun,544,2.7355989
guadua,noun,542,2.733999287
sufria,noun,540,2.73239376
hojita,noun,1544,3.188647296
gitana,noun,1544,3.188647296
gotera,noun,1545,3.188928484
bogota,noun,1557,3.192288613
ojeada,noun,1557,3.192288613
alegra,noun,533,2.726727209
manija,noun,1570,3.195899652
voluta,noun,529,2.723455672
metida,noun,1576,3.197556213
senora,noun,527,2.721810615
maraca,noun,1581,3.19893187
adenda,noun,523,2.718501689
ratita,noun,519,2.715167358
batata,noun,1604,3.205204364
torera,noun,518,2.71432976
enagua,noun,518,2.71432976
notita,noun,516,2.712649702
tenaza,noun,514,2.710963119
sandia,noun,514,2.710963119
zapata,noun,1622,3.21005085
masía,noun,510,2.707570176
hitita,noun,509,2.706717782
cicuta,noun,509,2.706717782
percha,noun,1638,3.214313897
canica,noun,1662,3.220631019
tirria,noun,500,2.698970004
coneja,noun,500,2.698970004
loseta,noun,497,2.696356389
devida,noun,496,2.695481676
garcia,noun,1677,3.224533063
chanta,noun,1678,3.224791956
tocata,noun,495,2.694605199
lipasa,noun,495,2.694605199
migaja,noun,1681,3.225567713
acelga,noun,1683,3.226084116
masita,noun,494,2.693726949
farola,noun,1684,3.226342087
regata,noun,1691,3.228143608
suelta,noun,1698,3.229937686
mesada,noun,1699,3.230193379
peonza,noun,485,2.685741739
mamada,noun,1721,3.23578087
gomita,noun,483,2.683947131
fumata,noun,483,2.683947131
caneca,noun,482,2.683047038
poesia,noun,1730,3.238046103
arenga,noun,1731,3.238297068
pleura,noun,479,2.680335513
sopita,noun,474,2.675778342
rosita,noun,1757,3.244771761
marica,noun,1758,3.245018871
encina,noun,1775,3.249198357
calima,noun,468,2.670245853
espana,noun,466,2.668385917
pajina,noun,465,2.667452953
crisma,noun,463,2.665580991
estiba,noun,463,2.665580991
celada,noun,462,2.664641976
isaía,noun,462,2.664641976
canola,noun,461,2.663700925
cayena,noun,460,2.662757832
pepita,noun,1809,3.257438567
xilema,noun,459,2.661812686
capita,noun,1819,3.259832699
estepa,noun,1824,3.261024834
almena,noun,454,2.657055853
viveza,noun,1834,3.263399331
chonta,noun,452,2.655138435
greña,noun,452,2.655138435
romana,noun,1846,3.266231697
lisura,noun,450,2.653212514
trocha,noun,1851,3.267406419
cripta,noun,1851,3.267406419
charca,noun,1856,3.268577972
lexema,noun,446,2.649334859
actina,noun,445,2.648360011
cajeta,noun,444,2.64738297
vincha,noun,443,2.646403726
majada,noun,442,2.645422269
gragea,noun,441,2.644438589
trivia,noun,441,2.644438589
linaza,noun,1889,3.276231958
tranza,noun,439,2.64246452
presea,noun,1896,3.277838333
lomita,noun,438,2.641474111
pelusa,noun,1905,3.27989498
mulada,noun,436,2.639486489
pasiva,noun,1908,3.28057837
panela,noun,1909,3.280805928
bujía,noun,1910,3.281033367
rodada,noun,434,2.63748973
toyota,noun,433,2.636487896
querra,noun,433,2.636487896
chucha,noun,1924,3.284205068
luneta,noun,432,2.635483747
semita,noun,431,2.63447727
vianda,noun,1934,3.28645647
vendra,noun,430,2.633468456
cecina,noun,430,2.633468456
califa,noun,1936,3.286905353
trilla,noun,429,2.632457292
sabina,noun,1941,3.288025535
amarra,noun,425,2.62838893
miasma,noun,425,2.62838893
redada,noun,1958,3.291812687
acedia,noun,423,2.626340367
caleta,noun,1968,3.294025094
alhaja,noun,422,2.625312451
lambda,noun,422,2.625312451
lutita,noun,421,2.624282096
damita,noun,421,2.624282096
guinda,noun,1981,3.296884476
rambla,noun,1991,3.29907126
sierva,noun,1996,3.300160537
calada,noun,416,2.619093331
alcoba,noun,2004,3.301897717
tisana,noun,412,2.614897216
cabuya,noun,411,2.613841822
puerca,noun,411,2.613841822
cuelga,noun,408,2.610660163
usanza,noun,2041,3.309843005
jirafa,noun,2047,3.311117843
palada,noun,406,2.608526034
humala,noun,406,2.608526034
pagoda,noun,406,2.608526034
estola,noun,405,2.607455023
cubeta,noun,2056,3.31302311
ramita,noun,2057,3.313234292
sotana,noun,2075,3.317018101
època,noun,400,2.602059991
pirita,noun,400,2.602059991
grilla,noun,2081,3.31827208
roseta,noun,397,2.598790507
bayeta,noun,395,2.596597096
teor?a,noun,395,2.596597096
canuta,noun,394,2.595496222
redoma,noun,394,2.595496222
oírla,noun,392,2.593286067
volada,noun,392,2.593286067
sandra,noun,391,2.592176757
amenza,noun,391,2.592176757
cajera,noun,2140,3.330413773
tonada,noun,2141,3.330616667
joyita,noun,2144,3.331224781
fucsia,noun,2152,3.332842267
capota,noun,385,2.58546073
fonema,noun,2161,3.334654767
champa,noun,383,2.583198774
dormia,noun,383,2.583198774
gaceta,noun,2182,3.338854746
sutura,noun,2188,3.340047318
boluda,noun,380,2.579783597
agalla,noun,2193,3.341038632
transa,noun,378,2.5774918
timina,noun,377,2.57634135
abarca,noun,2220,3.346352974
hijita,noun,2235,3.349277527
morera,noun,372,2.57054294
changa,noun,372,2.57054294
zelaya,noun,371,2.56937391
todita,noun,370,2.568201724
esteta,noun,370,2.568201724
uretra,noun,2250,3.352182518
pitada,noun,369,2.567026366
bicoca,noun,368,2.565847819
ramada,noun,367,2.564666064
auxina,noun,367,2.564666064
chusma,noun,2268,3.35564305
pincha,noun,2271,3.356217134
gomina,noun,366,2.563481085
baraja,noun,2283,3.358505911
auyama,noun,363,2.559906625
nganga,noun,363,2.559906625
tobera,noun,363,2.559906625
obrera,noun,2293,3.360404055
levita,noun,2303,3.362293938
guaira,noun,361,2.557507202
estada,noun,359,2.555094449
espora,noun,2318,3.365113432
gameta,noun,358,2.553883027
petaca,noun,358,2.553883027
cunita,noun,357,2.552668216
perona,noun,357,2.552668216
yoruba,noun,356,2.551449998
puebla,noun,355,2.550228353
cobija,noun,2350,3.371067862
pavada,noun,2354,3.371806459
auriga,noun,352,2.546542663
obrita,noun,352,2.546542663
birria,noun,350,2.544068044
panita,noun,349,2.542825427
ramera,noun,2387,3.377852419
aguita,noun,347,2.540329475
dadora,noun,347,2.540329475
molina,noun,347,2.540329475
ánima,noun,2398,3.379849179
minuta,noun,2401,3.38039216
patena,noun,345,2.537819095
piyama,noun,345,2.537819095
guinea,noun,345,2.537819095
malaga,noun,341,2.532754379
podr?a,noun,338,2.5289167
nevada,noun,2464,3.391640703
favela,noun,2466,3.391993072
culata,noun,2466,3.391993072
katana,noun,336,2.526339277
andrea,noun,335,2.525044807
d?cada,noun,334,2.523746467
zarina,noun,334,2.523746467
errata,noun,2493,3.396722279
viagra,noun,2504,3.398634325
hogaza,noun,331,2.519827994
habìa,noun,331,2.519827994
estava,noun,331,2.519827994
manila,noun,330,2.51851394
tesela,noun,330,2.51851394
mesura,noun,2525,3.402261382
ollita,noun,329,2.517195898
errada,noun,328,2.515873844
espiga,noun,2547,3.406028945
inopia,noun,326,2.5132176
iberia,noun,325,2.511883361
fumada,noun,325,2.511883361
platea,noun,2582,3.411956238
jalada,noun,322,2.507855872
actora,noun,2586,3.412628521
hábea,noun,321,2.506505032
retama,noun,321,2.506505032
bajeza,noun,2593,3.413802517
pomada,noun,2594,3.413969972
alivia,noun,317,2.501059262
bicapa,noun,317,2.501059262
chilla,noun,316,2.499687083
vanesa,noun,316,2.499687083
floema,noun,315,2.498310554
mahoma,noun,314,2.496929648
vestia,noun,314,2.496929648
garúa,noun,314,2.496929648
humita,noun,313,2.495544338
lingua,noun,311,2.492760389
bocana,noun,311,2.492760389
juerga,noun,2680,3.428134794
escusa,noun,2681,3.428296814
vieira,noun,309,2.489958479
nostra,noun,309,2.489958479
cenefa,noun,309,2.489958479
cigala,noun,308,2.488550717
tercia,noun,308,2.488550717
guarra,noun,307,2.487138375
tetita,noun,307,2.487138375
renina,noun,307,2.487138375
iguana,noun,2718,3.434249452
perita,noun,306,2.485721426
ensima,noun,306,2.485721426
cabesa,noun,306,2.485721426
estofa,noun,305,2.484299839
casaca,noun,2735,3.436957331
fogata,noun,2738,3.437433444
angina,noun,2740,3.437750563
menina,noun,303,2.481442629
costra,noun,2746,3.438700533
escara,noun,302,2.480006943
jojoba,noun,302,2.480006943
solapa,noun,2758,3.440594262
mofeta,noun,301,2.478566496
sonaja,noun,301,2.478566496
fabada,noun,301,2.478566496
vitola,noun,301,2.478566496
ricota,noun,301,2.478566496
avispa,noun,2774,3.443106457
pegada,noun,2791,3.445759836
cuneta,noun,2803,3.447623098
fanega,noun,296,2.471291711
batuta,noun,2824,3.450864692
medusa,noun,2825,3.451018452
sentra,noun,294,2.46834733
hahaha,noun,294,2.46834733
natura,noun,2830,3.451786436
manita,noun,2834,3.452399846
arroba,noun,2843,3.45377686
zambra,noun,292,2.465382851
galera,noun,2857,3.45591024
chorra,noun,291,2.463892989
lubina,noun,291,2.463892989
melisa,noun,291,2.463892989
maruja,noun,290,2.462397998
escita,noun,289,2.460897843
